from_desc,conditions,Home,Primary Care,Ophthalmology,Immunology,Cardiology,Other Dr Specialty,Urology,Gastroenterology,General Surgery,OB/GYN,Nephrology,Orthopedics,Psychiatry,Neurology,Oncology,Dermatology,Otorhinolaryngology
Home,A,512.98563194402,142.914441756865,149.933182749791,95.7275822868116,131.46015953904,137.086235621661,138.732511867204,119.043263288778,147.853784283859,128.428766242146,77.1410188100593,138.186881494178,93.6610030438233,94.1708962663321,78.8697219799978,133.008670567282,99.2919222783746
Primary Care,A,162.108797631111,66.7443902000337,73.51940974828,43.7730005344369,30.4644372359592,55.5848688841259,44.9167022776506,43.9168604882781,42.7387517595216,71.3004462599735,45.6705429861713,48.2034250810247,45.0720114857794,39.1721197369659,43.0990777404379,60.4091494789235,38.0051295306548
Ophthalmology,A,170.161457759683,76.7556145631878,36.1885031374646,47.7193164788157,36.4762314659844,57.351968587938,63.8193228972548,32.369143965786,70.8495589706987,69.1539909040571,35.3169482636989,40.2693974570794,33.0407934295537,42.5819879396492,44.2526855028928,57.61057181729,53.332064561997
Immunology,A,121.091331185541,54.5923820628003,44.1110221660668,16.2617676259135,22.4752599484585,46.7372498960472,9.47878816948144,13.2872169481572,39.5095842574369,49.4627972543323,NA,28.8887091641813,15.6357653837017,7.55408842355102,28.3188260914728,35.5428596398344,18.7369155651968
Cardiology,A,156.579723061796,59.2049206565478,38.8001861827714,39.1443456564222,29.2767531491203,25.3585734751487,36.6926318894902,15.2876477675663,48.0307807209005,51.660975517875,12.4275861250468,37.9144813045627,29.2043196126032,33.6131707092971,10.9738991484741,38.5334425414811,36.544802442909
Other Dr Specialty,A,156.109344919972,63.5995924908823,54.094910632599,37.1057252852656,41.2700149201904,17.8712414039973,40.6457704117452,26.3970170520989,29.0968222966189,47.2934311162179,41.9357612137705,39.5272031177642,33.3779739478103,28.9973798445412,16.2788644680362,54.0395680151517,29.689244017791
Urology,A,137.16278817064,55.7613772370975,75.1212371056931,55.6164793768226,20.9132765363092,28.367509046044,28.6236467242814,58.1723423320719,6.90577101815446,40.4971159072908,70.440643854293,43.3344026130246,26.1174441723054,27.9450455591376,55.7753098792246,34.9735752102454,46.4727900863336
Gastroenterology,A,141.049949324182,66.2279995881478,61.5469488652852,30.5399823111832,21.8717162781686,33.7249398780675,48.0343498693696,23.6861727576188,26.4464405234428,60.3520449340385,117.088880020165,56.1843087291012,25.1761981948514,36.9963895539932,114.354641766349,54.2819363282728,41.953201615683
General Surgery,A,165.515874542527,63.4892190327993,69.1895635851217,7,44.4107075898094,34.3481437310847,27.7142530145721,29.7322971168733,15.0551194799156,64.741297455875,111.52228178652,54.631896841613,32.9381807090103,57.966549561929,23.5574255564442,21.6445402737596,89.7889150474327
OB/GYN,A,151.428495748472,77.465763161716,63.7792408612847,56.9549029960924,52.2484544262896,45.5948431017107,46.1370820249498,46.0936555592994,48.9512718795697,27.9039560997555,23.0162816123314,58.5961478120163,38.8882696646981,39.7486326310991,33.2768103072124,52.1898108974077,39.0422452462713
Nephrology,A,118.006539060129,37.2888008618637,50.8525797077338,91,15.0278585857503,36.902145453657504,37.7104044647723,5.74440326635087,60.7941476331997,25.2684311101818,20.2730758944901,17.8391712594839,64.3800789380646,92.8800728492756,NA,47.7742135131039,9.2366929239326
Orthopedics,A,161.620125291919,71.611479314405,52.0609230795546,29.563547686712,30.1065822816171,41.1471035996441,65.7002195514036,33.6573702538448,38.4464116130921,74.4369520854651,9.41470903146779,19.2265194023295,54.6590368425596,26.2845293773555,42.037286666116,80.4802302932601,69.2518606509139
Psychiatry,A,124.226727293053,46.2456048073512,25.4181438826522,16.2984269468764,19.5575774271049,29.7131778244083,20.8919057403625,37.9471142684414,26.6529144809029,48.1555686494353,40.5251814801368,18.0099552831437,20.4665595765034,17.7906472675369,20.2698694276897,26.4204392253266,21.8782631274779
Neurology,A,133.997624466816,50.0623114800459,51.9830192862872,7.9043402380841,10.8297171516507,36.9105024707872,43.6084655503873,30.3031773934948,8.72606914003346,61.1750232435738,25.9656547854155,45.1786785701355,29.0371235192881,34.2585228521492,20.426610961509,42.2978457167052,46.4289452085185
Oncology,A,113.562648512442,43.6052860536067,29.314527203459,26,15.9020868830171,16.2494165075049,13.3481145217447,40.7317718845177,18.6662913230733,48.3492953292495,NA,10.9635246694491,28.11648180442,18.568371473001,15.5842832078662,41.2393254103539,21.8434211782191
Dermatology,A,130.46193476279,71.5839538842395,58.8533412736655,33.679892250694,29.8966044137501,46.5617498583676,49.354462045718,45.9072353805436,29.3561625145986,55.5244691715095,42.3192022319014,69.1682512067347,43.9502210332854,77.6549625804951,34.6053028597587,37.9685030652406,26.8501199236496
Otorhinolaryngology,A,151.927110423531,57.2676229165906,50.0471319321631,26.9456738493774,12.0527241606912,42.7900658607247,54.27277114977,32.3821221799644,86.3848708766042,59.8062137752937,3,61.8160843188362,37.0095765469518,33.1113131611151,28.8298170151355,41.529890003453,20.4420501326927
Home,B,510.847284403957,100.840907880036,89.0689387449057,46.9285641585453,92.7081998552154,83.6510550808486,92.7574451748723,69.6021204249391,76.2936062903667,94.6161322216817,69.3119450217609,75.8410919812578,60.1253131647209,67.8495318457392,58.8273555854053,90.8270244232016,79.846139777136
Primary Care,B,114.306217383215,53.0609668493366,45.4460626973093,34.1022797111953,35.5391606792797,33.7892202872903,32.0019636174838,34.3654499273449,33.7442829820766,48.2356555692535,27.861975957634,32.0541814152758,23.6856638534094,29.9273249142781,31.7119973882089,41.3399695379915,28.6062323515947
Ophthalmology,B,82.6756690948696,47.8844524061922,22.385981991405,27.5394946706231,31.8659329898837,28.5995375405398,32.7896410492306,36.3308250343644,36.233949080253,41.5912159428789,28.1081786391707,33.7024832307735,20.6498649851591,29.664966154091,26.9135874248532,26.0267519656766,27.5025139319071
Immunology,B,66.7742397583703,33.4237031835149,21.8172460703393,14.5209501549528,13.9206712320095,16.5415692605323,12.4170743541296,19.7729077558459,25.9838344134603,9.49061071871032,16.875862910313302,37.8701960783248,20.3484853368025,39.8704793756773,3.75492385869611,28.7473285728394,21.9181635795317
Cardiology,B,96.3401121180243,45.0733774563858,34.6624652989203,21.2940937232823,33.3627959786953,29.684971444663802,33.4805451776348,33.7723518380664,14.4596049917167,45.8986944312706,35.6379444404923,39.7333420068795,14.3686932975461,31.7974278478067,17.5835218783024,31.1349259409128,24.0433323495311
Other Dr Specialty,B,97.6871750161781,43.1583498735167,31.8827677461799,15.9261355645749,22.0355370606838,16.9023310245728,19.1522761854582,20.6976296229822,25.6106687836463,32.8437796110646,20.1017402717455,24.2792167946379,20.0648674925767,21.5976024613458,19.9532519575385,26.5359095170413,19.3252220207367
Urology,B,91.0682688799374,43.0655142486727,40.4129876520806,2.29436066477489,33.6703903740545,26.4374952963227,17.8551041496902,24.4248419687308,34.5988327683245,21.6395904479622,22.0603589617188,29.6013972109256,19.0431813104718,23.0170436041129,17.3438979665343,20.2260137684961,23.4889795043179
Gastroenterology,B,103.90592773125,45.5878716240451,46.2591434512143,25.9343152042154,34.8393823089159,25.4569232810317,20.367818092939,15.1114862586032,26.4356617199642,44.1520617078217,53.5990590764844,24.3689675038931,20.6008502305365,34.3072755710162,25.6392362652123,28.0355690971069,21.9199307959793
General Surgery,B,118.270529724911,45.52261691489,46.6568382594219,12.460119522058,14.4076267356912,18.2420249574611,40.0123150516198,56.0771771933524,12.5927328211391,38.8713359903572,3.92749728807698,29.6329675138014,62.9327806890722,39.9668783242855,13.7263886304986,80.6675277029206,35.8485543628657
OB/GYN,B,104.776925590038,51.715103126102,42.9607863602848,31.6036157468106,33.7542704302811,32.7916842364013,38.2812539029614,38.3493004394243,28.9186328792451,22.1181344058285,22.4114151372176,54.6487622394996,36.3339800408897,35.8753539618717,38.4378580179179,44.6756402897081,23.727736773649
Nephrology,B,55.5314907077538,24.9084082562932,28.379838344069,1,13.9295817428533,17.6967751363146,26.499447187479,17.459204252753,5.33872775449348,29.9254901493521,8.4980408817173,12.7806530238424,40.6972407112334,34.1416552642232,22.3760220631597,9.74425130453586,16.5592466619754
Orthopedics,B,101.995405861406,42.4681048001172,37.0813724292196,46.319501480523,38.7031621422372,23.2582501289915,25.1063468157699,23.4931173988525,31.1799251758226,30.8529862370712,48.9096209441207,17.8443585579969,16.8655400598611,21.6477639426543,39.4760252495706,34.8435147764279,27.6164497075027
Psychiatry,B,77.3181207191664,27.4535411459082,25.2434914305883,11.903207057653,11.5899737608092,17.2675571308542,13.8370642901412,19.9062765389958,23.5063761673122,24.5351500394445,21.9075904570655,16.3090564495498,20.2871973242468,15.567764769928,15.3434848174233,26.2702404151235,27.947430111852
Neurology,B,71.8508981727466,35.3549398485905,26.5739471039962,25.2819421972638,21.680344388368,16.5110398880559,31.2515959885428,16.7693018591901,23.8153889443149,36.3124447186107,50.6167247812402,18.8301789945662,19.1310709805649,25.7508260587301,15.2701070707685,22.8697429654831,19.4290272375403
Oncology,B,75.8235965849529,34.6536088662966,33.1201380181466,57.5771474447191,42.5699708411166,18.7679833296031,22.5796484425111,16.3463600335321,18.2176059439451,43.5769653971383,19.1855086411363,25.8785084311898,7.30647286803552,18.3613231582232,14.919068119026,23.7876222756096,31.740639383881
Dermatology,B,83.0803506200317,42.8884704962883,35.4662803303353,13.6648116317328,46.8871042946136,27.7037671311571,20.9591539599836,39.4148904680474,20.4022052526678,34.6360954580986,36.1954275571895,36.1827342406871,22.2727336605575,27.3761674219958,27.1338302539783,28.0809810384781,23.5556105290161
Otorhinolaryngology,B,69.6184243429946,39.2049765719244,22.8728648242023,10.264083054653,16.9574785287239,27.4878552321952,24.1269877141265,27.4247246282872,44.3971355431363,20.3600361707246,19.8103412425757,28.9801162848293,15.1551541087703,15.7437852573986,25.2647787132967,26.9744000736223,17.3037362005915
